Co_C_P_Ir fcc--426.40171718 hcp--427.11243889 top--426.89565404
Co_Ge_As_Rh fcc--325.43149137 hcp--325.56403051 top--325.98613078
Cr_C_N_Ni fcc--550.50313044 hcp--550.41869947 top--550.73072867
Cr_C_P_Pd fcc--453.67899459 hcp--454.05223021 top--453.51035205
Cr_C_P_Ta fcc--456.82984980 hcp--456.30184742 top--455.14801227
Cr_Ge_As_Fe fcc--350.79362131 hcp--350.98549680 top--349.71688322
Cr_Ge_N_Pt fcc--476.90718939 hcp--477.22252399 top--476.90346333
Cr_Si_As_Fe fcc--359.00698629 hcp--359.61778109 top--358.48513230
Cr_Sn_P_Pt fcc--359.73236286 hcp--359.84675787 top--358.74085097
Fe_C_P_Fe fcc--441.93704237 hcp--441.24820096 top--441.24754866
Fe_Sn_As_Rh fcc--321.09068154 hcp--320.99363986 top--319.40960339
Hf_C_P_Pt fcc--453.38937376 hcp--453.39104707 top--452.81310202
Hf_C_P_Y fcc--453.78872774 hcp--453.51290465 top--452.89035263
Hf_Ge_N_Os fcc--511.62516203 hcp--513.48026220 top--511.39521495
Hf_Ge_P_Ti fcc--399.15658891 hcp--399.27460171 top--399.37910072
Hf_Si_N_Y fcc--568.31188454 hcp--568.61410933 top--567.86428167
Hf_Sn_N_Rh fcc--485.08438034 hcp--485.20703682 top--485.20499603
Hf_Sn_N_V fcc--487.82160360 hcp--488.08388445 top--487.14943572
Hf_Sn_P_Co fcc--384.24062121 hcp--384.34322757 top--383.30181652
Ir_C_N_Y fcc--504.08226707 hcp--502.73097116 top--502.72979286
Ir_Si_As_Ru fcc--367.14892058 hcp--366.54725145 top--365.31515150
Ir_Si_N_W fcc--517.07900338 hcp--516.63105893 top--517.16268560
Ir_Sn_As_W fcc--336.57373416 hcp--337.01017371 top--337.83987217
Ir_Sn_N_Ni fcc--428.51514849 hcp--428.00328247 top--419.83052019
Mn_C_As_Ni fcc--399.84842257 hcp--400.04686196 top--399.22254934
Mn_Ge_N_Mo fcc--467.25010191 hcp--467.38535421 top--467.71075293
Mn_Ge_N_Ru fcc--465.46748834 hcp--465.55495496 top-
Mn_Ge_N_Ta fcc--467.82789917 hcp--468.56636068 top--467.32478321
Mn_Ge_P_Rh fcc--374.68656579 hcp--374.68702761 top--373.30552403
Mn_Sn_As_Mn fcc--335.33785283 hcp--335.43186346 top--334.56344300
Mn_Sn_N_Hf fcc--444.43240703 hcp--443.56076832 top--442.55879425
Mo_C_N_Ni fcc--551.35812894 hcp--550.42954293 top--550.16393658
Mo_C_N_Pd fcc--550.38215245 hcp--550.39084815 top--550.59987489
Mo_Ge_N_Nb fcc--504.23256917 hcp--504.23328265 top--504.25611635
Mo_Si_As_Cu fcc--385.63496711 hcp--385.59536921 top--385.25015204
Mo_Si_N_Y fcc--567.33946890 hcp--567.47220266 top--567.34357374
Nb_C_P_Cu fcc--456.15860964 hcp--456.48710159 top--455.80618308
Nb_Ge_N_Cu fcc--502.53529789 hcp--502.73348327 top--502.69245091
Nb_Ge_N_Sc fcc--506.63506343 hcp--507.04040376 top--505.59599357
Nb_Si_N_Hf fcc--567.40942783 hcp--567.82212874 top--567.39092955
Ni_C_As_Zr fcc--369.10080009 hcp--369.01471403 top--369.01563278
Ni_C_N_Cr fcc--476.06220241 hcp--476.13381438 top--476.15848468
Ni_Si_P_V fcc--365.00623002 hcp--364.93062717 top--363.88369761
Os_Ge_As_Ag fcc--359.14702765 hcp--359.29931657 top--359.28896533
Os_Ge_P_Nb fcc--396.56481728 hcp--396.16011819 top--396.56514485
Os_Ge_P_Pd fcc--393.98099073 hcp--394.47190140 top--393.85488413
Pt_Ge_As_Zr fcc--326.96735659 hcp--325.32555021 top--326.57676582
Pt_Si_As_Fe fcc--341.17977849 hcp--344.08888703 top--343.85721397
Pt_Si_As_Mn fcc--345.13907300 hcp--346.39069352 top--344.41124338
Pt_Sn_N_Hf fcc--406.80729267 hcp--410.62446382 top--398.61218681
Pt_Sn_N_Ti fcc--408.98332835 hcp--407.29296959 top--405.01699064
Rh_Si_As_Cu fcc--351.97059161 hcp--351.90037258 top--351.34991309
Rh_Si_N_Pd fcc--502.90061872 hcp--502.94090459 top--502.94038600
Rh_Si_N_Pt fcc--502.79820426 hcp--502.79869591 top--502.79876606
Rh_Si_P_Ag fcc--382.00727403 hcp--382.09846137 top--383.72288136
Rh_Sn_As_Au fcc--316.82652323 hcp--316.82483141 top--316.81675277
Rh_Sn_As_V fcc--321.87882945 hcp--322.54836655 top--320.59243642
Ru_Si_N_Au fcc--518.55659508 hcp--518.66692533 top--517.93928788
Ru_Si_N_Hf fcc--521.93425124 hcp--521.98314286 top--522.08291940
Sc_Ge_As_Y fcc--337.40282713 hcp--337.43322833 top--337.53892287
Sc_Ge_P_Cr fcc--364.41856466 hcp--364.33438664 top--363.55435707
Sc_Ge_P_Pt fcc--361.02993957 hcp--361.26885529 top--360.41666592
Sc_Si_N_Cr fcc--522.72607968 hcp--522.75393155 top--521.84304967
Sc_Sn_As_Au fcc--321.81978355 hcp--322.10359018 top--321.95554141
Sc_Sn_As_Ni fcc--323.69588570 hcp--323.71292982 top--322.64005101
Sc_Sn_P_W fcc--351.76182194 hcp--351.91581355 top--347.99090434
Ta_C_P_Fe fcc--473.69449861 hcp--472.82498246 top--473.80871306
Ta_C_P_Nb fcc--474.24692530 hcp--473.87481231 top--472.78252215
Ta_Ge_As_Au fcc--375.97364933 hcp--376.27053427 top--376.20770551
Ta_Sn_As_Os fcc--366.98757071 hcp--366.54826547 top--365.02902998
Ti_C_As_Y fcc--397.65241276 hcp--397.49467743 top--397.30630336
Ti_Ge_N_Co fcc--485.18200739 hcp--485.29224905 top--484.68774147
Ti_Ge_N_Ir fcc--484.32552369 hcp--484.40827879 top--484.40364614
Ti_Ge_N_Sc fcc--487.03787120 hcp--487.40981735 top--485.83862505
Ti_Ge_P_Au fcc--372.89662836 hcp--373.24346459 top--373.11181821
Ti_Ge_P_Mo fcc--378.20929748 hcp--378.34527153 top--377.38825350
Ti_Si_As_Sc fcc--367.71214453 hcp--367.72365351 top--366.50607190
V_C_As_Pt fcc--405.64850850 hcp--406.16805119 top--405.77353479
V_C_P_Cu fcc--448.79499641 hcp--448.96303381 top--448.44395704
V_Ge_As_Mn fcc--351.74721273 hcp--353.04554908 top--352.37779845
V_Si_As_Sc fcc--371.25678605 hcp--371.17358987 top--370.14642485
V_Si_P_Pd fcc--405.88727036 hcp--405.85282065 top--405.33632999
V_Si_P_V fcc--408.30110386 hcp--408.10482316 top--407.05630307
W_C_As_Pt fcc--435.06592523 hcp--435.71509623 top--435.14099228
W_C_P_Ru fcc--483.67442680 hcp--484.08706689 top--482.36701417
W_Ge_P_Ta fcc--418.51027882 hcp--418.05435007 top--416.96068969
W_Si_As_Ag fcc--399.29571384 hcp--399.37227177 top--399.23916991
W_Si_N_Ag fcc--585.89956828 hcp--585.90418804 top--585.89943232
W_Si_P_Ru fcc--444.21377833 hcp--443.50950105 top--442.40731396
W_Si_P_Y fcc--442.36039906 hcp--442.14454155 top--441.60970833
W_Sn_P_W fcc--399.04044054 hcp--398.32385982 top--396.96219084
Y_Ge_N_Ag fcc--454.05338499 hcp--454.12762213 top--454.01616395
Y_Ge_N_Co fcc--457.50812598 hcp--457.80671021 top--457.51422966
Y_Sn_P_Y fcc--354.77437244 hcp--352.78382922 top--355.16622673
Zr_C_N_Co fcc--556.21722344 hcp--558.89541329 top--556.21625771
Zr_C_N_W fcc--560.82045275 hcp--560.82153068 top--560.82033043
Zr_Ge_P_V fcc--387.95922202 hcp--388.00543596 top--386.72623808
Zr_Si_As_Ni fcc--376.04424913 hcp--375.70605621 top--374.88370691
Zr_Sn_As_Co fcc--347.49015795 hcp--347.61914807 top--346.69456178
Zr_Sn_N_Pd fcc--470.02998215 hcp--470.10932996 top--470.22837713
